Cust Order No,Cust Order Date,FWD Seller Order NO,FWD PO NO,FWD PO Date,Seller Invoice No,Seller Invoice Date,Cust Invoice No,Cust Invoice Date,Status,JioCode,HSN,Seller Style Code,Seller SKU,EAN,Description,Order Qty,FWD Shipment ID,FWD Shipment Date,FWD Carrier,FWD AWB,Shipped QTY,Estimated Dispatch Date,SLA Status,Cancelled Qty,Customer Cancelled QTY,Seller Cancelled QTY,Listing MRP,Seller TD,Selling Price,Base Price,Total Price,CGST_PERCENTAGE,CGST_AMOUNT,SGST_PERCENTAGE,SGST_AMOUNT,IGST_PERCENTAGE,IGST_AMOUNT,Total Value,Invoice Value,Brand,Fulfillment Type,POB ID,Seller Name
FN5919605764,Tue Jul 29 22:20:26 IST 2025,1083624436,,,,,,,Cancelled,701884635005,62114210,ZX--Pink,ZX--Pink-M,100000000125971914,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,NA,,,,0,Mon Aug 04 00:00:00 IST 2025,Within SLA,1,1,0,2632.0,1710,921.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN5119600317,Tue Jul 29 22:15:26 IST 2025,1083622860,5119999855,Wed Jul 30 00:00:00 IST 2025,AJ2613522,Wed Jul 30 17:26:09 IST 2025,AF25GJ182868905,Wed Jul 30 17:26:13 IST 2025,Delivered,701884635005,62114210,ZX--Pink,ZX--Pink-M,100000000125971914,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158374,Wed Jul 30 17:23:19 IST 2025,XPRESSBEES,13670526860578,1,Mon Aug 04 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN1055607864,Tue Jul 29 22:11:13 IST 2025,1083621625,5119999856,Wed Jul 30 00:00:00 IST 2025,AJ2613523,Wed Jul 30 17:26:09 IST 2025,AF25GJ182868906,Wed Jul 30 17:26:13 IST 2025,Shipped,701884635003,62114210,ZX--Pink,ZX--Pink-2XL,100000000125968989,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158373,Wed Jul 30 17:23:19 IST 2025,DELHIVERY,195042382367955,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN0919601899,Tue Jul 29 21:33:33 IST 2025,1083609283,5119999841,Wed Jul 30 00:00:00 IST 2025,AJ2613520,Wed Jul 30 17:26:03 IST 2025,AF25GJ182868809,Wed Jul 30 17:26:07 IST 2025,Delivered,701884646003,62114210,ZX--White,ZX--White-3XL,100000000125970867,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158372,Wed Jul 30 17:23:18 IST 2025,DELHIVERY,195042382313941,1,Mon Aug 04 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN3268607120,Tue Jul 29 21:12:48 IST 2025,1083604374,5119999845,Wed Jul 30 00:00:00 IST 2025,AJ2613519,Wed Jul 30 17:26:03 IST 2025,AF25GJ182868842,Wed Jul 30 17:26:07 IST 2025,Shipped,701877201001,62114210,BHKKX MUSTARD,BH-KKX-MUSTARD-M,100000000125923967,WOMEN EMBROIDERY STRAIGHT KURTA SET,1,E342231108158371,Wed Jul 30 17:23:18 IST 2025,XPRESSBEES,13670526856970,1,Mon Aug 04 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN8119607640,Tue Jul 29 21:11:42 IST 2025,1083604142,5119999851,Wed Jul 30 00:00:00 IST 2025,AJ2613559,Wed Jul 30 17:28:34 IST 2025,AF25GJ182869480,Wed Jul 30 17:28:38 IST 2025,Delivered,701877201005,62114210,BHKKX MUSTARD,BH-KKX-MUSTARD-L,100000000125935795,WOMEN EMBROIDERY STRAIGHT KURTA SET,1,E342231108158370,Wed Jul 30 17:23:18 IST 2025,DELHIVERY,195042382301024,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
EX0032824458,Tue Jul 29 21:10:07 IST 2025,1083603787,5119999847,Wed Jul 30 00:00:00 IST 2025,AJ2613558,Wed Jul 30 17:28:23 IST 2025,AF25GJ182869456,Wed Jul 30 17:28:27 IST 2025,Delivered,701884635004,62114210,ZX--Pink,ZX--Pink-3XL,100000000125970873,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158369,Wed Jul 30 17:23:17 IST 2025,DELHIVERY,195042382299974,1,Mon Aug 04 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN7638608317,Tue Jul 29 20:59:18 IST 2025,1083601168,5119999879,Wed Jul 30 00:00:00 IST 2025,AJ2613557,Wed Jul 30 17:28:17 IST 2025,AF25GJ182869416,Wed Jul 30 17:28:21 IST 2025,Delivered,701877201001,62114210,BHKKX MUSTARD,BH-KKX-MUSTARD-M,100000000125923967,WOMEN EMBROIDERY STRAIGHT KURTA SET,1,E342231108158444,Wed Jul 30 17:23:17 IST 2025,XPRESSBEES,13670526856232,1,Tue Aug 05 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN8688609762,Tue Jul 29 20:27:59 IST 2025,1083594243,,,,,,,Cancelled,701884646002,62114210,ZX--White,ZX--White-2XL,100000000125968993,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,NA,,,,0,Thu Aug 07 00:00:00 IST 2025,Within SLA,1,1,0,2632.0,1710,921.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
FN9265601841,Tue Jul 29 20:21:57 IST 2025,1083592926,5119999839,Wed Jul 30 00:00:00 IST 2025,AJ2613556,Wed Jul 30 17:28:11 IST 2025,AF25GJ182869430,Wed Jul 30 17:28:15 IST 2025,Delivered,701884635003,62114210,ZX--Pink,ZX--Pink-2XL,100000000125968989,WOMEN EMBROIDERED STRAIGHT KURTA SUIT SET,1,E342231108158368,Wed Jul 30 17:23:16 IST 2025,XPRESSBEES,13670526854156,1,Mon Aug 04 00:00:00 IST 2025,Delayed,0,0,0,2632.0,1710,921.0,564.12,564.12,2.5,14.1,2.5,14.1,0.0,0.0,592.32,592.33,BHARVITA,DS,DV00342231,EASY SELL SERVICE PRIVATE LIMITED
